"root_dir","p_index","mode","puckid","pinid","sample_name","wavelength","raster_vbeam","raster_hbeam","att_raster","hebi_att","exp_raster","dist_raster","loopsize","score_min","score_max","maxhits","total_osc","osc_width","ds_vbeam","ds_hbeam","exp_ds","dist_ds","dose_ds","offset_angle","reduced_fact","ntimes","meas_name","cry_min_size_um","cry_max_size_um","hel_full_osc","hel_part_osc","isSkip","isMount","isLoopCenter","isRaster","isDS","scan_height","scan_width","n_mount","nds_multi","nds_helical","nds_helpart","t_meas_start","t_mount_end","t_cent_start","t_cent_end","t_raster_start","t_raster_end","t_ds_start","t_ds_end","t_dismount_start","t_dismount_end","Resolution",
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","1392",15,"hk_ST_SIK_L019",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2355",14,"hk_ST_SIK_L019",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","051",1,"hk_ST_SIK_L020",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","051",2,"hk_ST_SIK_L020",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","051",3,"hk_ST_SIK_L020",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","1392",3,"hk_ST_SIK_L020",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","051",4,"hk_ST_SIK_L021",1,20,20,50,50,0.02,180,350,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","051",5,"hk_ST_SIK_L021",1,20,20,50,50,0.02,180,250,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","051",6,"hk_ST_SIK_L021",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","051",7,"hk_ST_SIK_L021",1,20,20,50,50,0.02,180,350,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
